,,,,,,,Indicadores,SUMA_NETA
MATERIAL1,FECHA,,ID CENTRO,GRUPO_ARTICULOS,NOMBRE_CENTRO,CLASE_MOVIMIENTO,UNIDAD,
1,2024-01-02,2 ene. 2024,S517,GASOLINA,,641,L60,"9,899"
1,2024-01-02,2 ene. 2024,S551,GASOLINA,,641,L60,"12,912"
1,2024-01-02,2 ene. 2024,S722,GASOLINA,,641,L60,"18,810"
1,2024-01-02,2 ene. 2024,S838,GASOLINA,,641,L60,"13,901"
1,2024-01-02,2 ene. 2024,S901,GASOLINA,,641,L60,"9,906"
1,2024-01-02,2 ene. 2024,S906,GASOLINA,,641,L60,"18,948"
1,2024-01-02,2 ene. 2024,S931,GASOLINA,,641,L60,"18,953"
1,2024-01-02,2 ene. 2024,S933,GASOLINA,,641,L60,"4,965"
1,2024-01-02,2 ene. 2024,S936,GASOLINA,,641,L60,"9,913"
1,2024-01-02,2 ene. 2024,S954,GASOLINA,,641,L60,"48,581"
1,2024-01-03,3 ene. 2024,1201,GASOLINA,E/S 40115 LA SERENA,641,L60,"45,519"
1,2024-01-03,3 ene. 2024,1202,GASOLINA,E/S 40117 SAN ANTONIO,641,L60,"95,042"
1,2024-01-03,3 ene. 2024,1205,GASOLINA,E/S 40120 CARTAGENA,641,L60,"118,220"
1,2024-01-03,3 ene. 2024,1208,GASOLINA,E/S 40128 VIÑA DEL MAR,641,L60,"250,421"
1,2024-01-03,3 ene. 2024,1210,GASOLINA,E/S 40130 QUILPUÉ,641,L60,"525,414"
1,2024-01-03,3 ene. 2024,1211,GASOLINA,E/S 40131 SANTA MARÍA,641,L60,"199,446"
1,2024-01-03,3 ene. 2024,C004,GASOLINA,MINERA CORDILLERA CHILE SCM,641,L60,"5,969"
1,2024-01-03,3 ene. 2024,C034,GASOLINA,SOQUIMICH ESTACION COYA SUR,641,L60,"7,964"
1,2024-01-03,3 ene. 2024,C046,GASOLINA,CODELCO - GABRIELA MISTRAL,641,L60,"17,875"
1,2024-01-03,3 ene. 2024,C050,GASOLINA,DEPOSITO OXXEAN PTO. CHACABUCO,641,L60,"10,923"
1,2024-01-03,3 ene. 2024,C062,GASOLINA,MINERA ANTUCOYA,641,L60,"16,900"
1,2024-01-03,3 ene. 2024,C066,GASOLINA,CODELCO - ANDINA,641,L60,"17,899"
1,2024-01-03,3 ene. 2024,C091,GASOLINA,DEPOSITO PARMA,641,L60,"18,892"
1,2024-01-03,3 ene. 2024,C099,GASOLINA,MINERA CANDELARIA,641,L60,"16,899"
1,2024-01-03,3 ene. 2024,C100,GASOLINA,Mina Santos,641,L60,"18,887"
1,2024-01-03,3 ene. 2024,C115,GASOLINA,SAN FELIPE,641,L60,"9,954"
1,2024-01-03,3 ene. 2024,C143,GASOLINA,LA SERENA,641,L60,"9,951"
1,2024-01-03,3 ene. 2024,C145,GASOLINA,VIÑA DEL MAR,641,L60,"4,974"
1,2024-01-03,3 ene. 2024,C153,GASOLINA,VILLA ALEMANA,641,L60,"18,892"
1,2024-01-03,3 ene. 2024,C162,GASOLINA,SAN FELIPE,641,L60,"10,941"
1,2024-01-03,3 ene. 2024,C193,GASOLINA,E/S 40060 VIÑA DEL MAR,641,L60,"4,969"
1,2024-01-03,3 ene. 2024,C198,GASOLINA,E/S 40066 VALPARAÍSO,641,L60,"8,949"
1,2024-01-03,3 ene. 2024,C369,GASOLINA,E/S 40091 QUILPUÉ,641,L60,"5,958"
1,2024-01-03,3 ene. 2024,C403,GASOLINA,E/S 40100 VALLENAR,641,L60,"24,872"
1,2024-01-03,3 ene. 2024,C430,GASOLINA,E/S 40103 LA SERENA,641,L60,"10,940"
1,2024-01-03,3 ene. 2024,C481,GASOLINA,E/S 40112 OVALLE,641,L60,"9,898"
1,2024-01-03,3 ene. 2024,C503,GASOLINA,,641,L60,"18,880"
1,2024-01-03,3 ene. 2024,C516,GASOLINA,,641,L60,"18,921"
1,2024-01-03,3 ene. 2024,C517,GASOLINA,,641,L60,"19,889"
1,2024-01-03,3 ene. 2024,C551,GASOLINA,,641,L60,"9,946"
1,2024-01-03,3 ene. 2024,C710,GASOLINA,,641,L60,"9,931"
1,2024-01-03,3 ene. 2024,G044,GASOLINA,,641,L60,"5,943"
1,2024-01-03,3 ene. 2024,G097,GASOLINA,,641,L60,"10,914"
1,2024-01-03,3 ene. 2024,G196,GASOLINA,,641,L60,"15,915"
1,2024-01-03,3 ene. 2024,G259,GASOLINA,,641,L60,"8,948"
1,2024-01-03,3 ene. 2024,G261,GASOLINA,,641,L60,"8,931"
1,2024-01-03,3 ene. 2024,G263,GASOLINA,,641,L60,"18,874"
1,2024-01-03,3 ene. 2024,G266,GASOLINA,,641,L60,"16,878"
1,2024-01-03,3 ene. 2024,G326,GASOLINA,,641,L60,"15,915"
1,2024-01-03,3 ene. 2024,G332,GASOLINA,,641,L60,"4,963"
